Dealer,Number,Suit,Number,Suit,Number,Suit,Number,Suit,UpCard_Suit,UpCard_Number,,Dealer,Number,Suit,Number,Suit,Number,Suit,Number,Suit,,Own Crib (frequencies),,,,,,Other Crib,,,
You,10,S,3,H,5,C,6,D,S,9,,Bill,7,C,4,D,7,S,8,H,,,,,,,,,,,
You,6,S,9,S,1,H,9,D,D,5,,You,1,D,7,H,8,C,13,S,,,,,,,,,,,
You,6,S,9,S,1,H,9,D,D,5,,Bill,1,H,2,H,1,S,10,S,,,,,,,,,,,
You,6,S,9,S,1,H,9,D,D,5,,You,12,C,3,D,7,D,9,D,,,,,,,,,,,
You,6,S,9,S,1,H,9,D,D,5,,Bill,4,C,7,H,10,D,10,C,,,,,,,,,,,
You,6,S,9,S,1,H,9,D,D,5,,You,2,S,13,D,6,D,12,H,,,,,,,,,,,
You,6,S,9,S,1,H,9,D,D,5,,Bill,12,C,8,C,10,H,10,D,,,,,,,,,,,
You,6,S,9,S,1,H,9,D,D,5,,You,13,C,10,H,2,H,11,D,,,,,,,,,,,
You,6,S,9,S,1,H,9,D,D,5,,Bill,8,C,9,H,7,H,7,S,,,,,,,,,,,
You,6,S,9,S,1,H,9,D,D,5,,You,10,D,3,H,8,S,12,D,,,,,,,,,,,
You,6,S,9,S,1,H,9,D,D,5,,Bill,7,H,8,D,7,C,13,C,,,,,,,,,,,
You,6,S,9,S,1,H,9,D,D,5,,You,10,S,2,S,6,D,12,H,,,,,,,,,,,
You,6,S,9,S,1,H,9,D,D,5,,Bill,13,D,4,H,8,C,12,S,,,,,,,,,,,
Bill,5,H,6,D,12,D,12,C,D,13,,You,5,H,6,S,4,D,5,S,,,,,,,,,,,
Bill,5,H,6,D,12,D,12,C,D,13,,Bill,13,C,10,S,2,D,2,C,,,,,,,,,,,
Bill,5,H,6,D,12,D,12,C,D,13,,You,1,D,1,C,4,C,10,D,,,,,,,,,,,
Bill,5,H,6,D,12,D,12,C,D,13,,You,1,H,1,D,10,C,12,C,,,,,,,,,,,
Bill,5,H,6,D,12,D,12,C,D,13,,Bill,10,H,3,S,12,C,13,S,,,,,,,,,,,
Bill,5,H,6,D,12,D,12,C,D,13,,You,2,H,8,S,2,C,5,H,,,,,,,,,,,
Bill,5,H,6,D,12,D,12,C,D,13,,Bill,12,C,2,S,1,C,3,S,,,,,,,,,,,
Bill,5,H,6,D,12,D,12,C,D,13,,You,13,S,10,H,5,S,13,C,,,,,,,,,,,
Bill,5,H,6,D,12,D,12,C,D,13,,Bill,3,H,7,D,11,C,13,S,,,,,,,,,,,
Bill,5,H,6,D,12,D,12,C,D,13,,You,11,D,6,D,3,C,9,D,,,,,,,,,,,
You,4,C,5,H,3,H,8,D,D,5,,Bill,3,D,1,H,1,S,1,D,,,,,,,,,,,
You,4,C,5,H,3,H,8,D,D,5,,Bill,4,D,8,H,7,D,7,C,,,,,,,,,,,
You,4,C,5,H,3,H,8,D,D,5,,You,2,H,1,H,10,D,11,H,,,,,,,,,,,
You,4,C,5,H,3,H,8,D,D,5,,Bill,13,C,10,S,12,S,13,S,,,,,,,,,,,
You,4,C,5,H,3,H,8,D,D,5,,You,1,H,1,S,5,S,6,H,,,,,,,,,,,
You,4,C,5,H,3,H,8,D,D,5,,Bill,11,D,9,S,9,H,9,C,,,,,,,,,,,
You,4,C,5,H,3,H,8,D,D,5,,You,2,H,4,C,1,D,5,H,,,,,,,,,,,
You,4,C,5,H,3,H,8,D,D,5,,Bill,12,S,1,H,6,H,13,D,,,,,,,,,,,
You,4,C,5,H,3,H,8,D,D,5,,You,9,S,8,C,10,H,11,C,,,,,,,,,,,
You,4,C,5,H,3,H,8,D,D,5,,Bill,10,C,1,S,8,S,10,H,,,,,,,,,,,
You,4,C,5,H,3,H,8,D,D,5,,Bill,4,D,10,D,6,C,7,D,,,,,,,,,,,
You,4,C,5,H,3,H,8,D,D,5,,You,11,H,9,C,8,C,13,D,,,,,,,,,,,
Bill,6,D,1,S,1,C,9,S,H,13,,Bill,9,S,7,C,9,D,9,C,,,,,,,,,,,
Bill,6,D,1,S,1,C,9,S,H,13,,You,13,H,6,H,2,C,9,S,,,,,,,,,,,
Bill,6,D,1,S,1,C,9,S,H,13,,Bill,3,D,4,D,5,D,11,C,,,,,,,,,,,
Bill,6,D,1,S,1,C,9,S,H,13,,You,10,D,13,C,1,S,9,C,,,,,,,,,,,
Bill,6,D,1,S,1,C,9,S,H,13,,Bill,7,D,9,H,10,S,10,D,,,,,,,,,,,
Bill,6,D,1,S,1,C,9,S,H,13,,You,11,H,5,S,9,H,11,S,,,,,,,,,,,
Bill,6,D,1,S,1,C,9,S,H,13,,Bill,1,H,8,D,11,H,12,H,,,,,,,,,,,
Bill,6,D,1,S,1,C,9,S,H,13,,You,10,S,12,S,6,C,10,D,,,,,,,,,,,
Bill,6,D,1,S,1,C,9,S,H,13,,Bill,13,D,2,S,8,H,13,S,,,,,,,,,,,
You,10,D,10,S,1,C,9,S,H,13,,You,6,S,6,H,9,C,13,D,,,,,,,,,,,
You,10,D,10,S,1,C,9,S,H,13,,Bill,12,S,8,C,4,D,5,H,,,,,,,,,,,
You,10,D,10,S,1,C,9,S,H,13,,You,8,D,6,S,7,C,10,C,,,,,,,,,,,
You,10,D,10,S,1,C,9,S,H,13,,Bill,6,H,3,H,5,H,10,S,,,,,,,,,,,
You,10,D,10,S,1,C,9,S,H,13,,You,7,D,5,S,1,C,3,D,,,,,,,,,,,
You,10,D,10,S,1,C,9,S,H,13,,Bill,10,H,8,D,1,C,7,C,,,,,,,,,,,
You,10,D,10,S,1,C,9,S,H,13,,You,8,S,6,D,6,S,8,C,,,,,,,,,,,
You,10,D,10,S,1,C,9,S,H,13,,Bill,11,C,1,C,6,S,7,D,,,,,,,,,,,
Bill,7,H,1,D,5,S,13,H,D,4,,You,4,C,12,H,7,C,12,S,,,,,,,,,,,
Bill,7,H,1,D,5,S,13,H,D,4,,Bill,12,C,10,S,11,C,12,D,,,,,,,,,,,
Bill,7,H,1,D,5,S,13,H,D,4,,You,4,S,2,C,2,S,3,C,,,,,,,,,,,
